,Make,Model,Price,Valves_Per_Cylinder,Emission_Norm,Fuel_Tank_Capacity,Height,Width,Doors,City_Mileage,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Seating_Capacity,Audiosystem,Basic_Warranty,Central_Locking,Cup_Holders,Minimum_Turning_Radius,Drive_Modes,Voice_Recognition,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Parking_Assistance,EBA_(Electronic_Brake_Assist),Navigation_System,Rain_Sensing_Wipers,Automatic_Headlamps
1255,Mitsubishi,Pajero Sport,20830055.00,2.00,BS IV,7.00,184.00,1815.00,5.00,6.5,Ventilated Disc,Drum,Double Wishbone with coil spring suspension,3-link Type coil spring suspension,Electric Power,All Windows,Yes,Remote,178PS@4rpm,35Nm@18-35rpm,7,CD Player with USB & Aux-in,3 years /1 Kms (years/distance whichever comes first),Yes,Front,5.6 meter,NO,NO,Yes,26 kg,Rear sensors with camera,NO,Yes,NO,NO
1256,Mitsubishi,Pajero Sport,3953024.00,4.00,BS IV,7.00,184.00,1815.00,5.00,6.5,Ventilated Disc,Drum,Double Wishbone with coil spring suspension,3-link Type coil spring suspension,Electric Power,All Windows,Yes,Remote,178PS@4rpm,4Nm@2-25rpm,7,CD Player with USB & Aux-in,3 years /1 Kms (years/distance whichever comes first),Yes,Front & Rear,5.6 meter,NO,NO,Yes,265 kg,Rear sensors with camera,NO,Yes,NO,NO
1257,Mitsubishi,Pajero Sport,2992008.00,4.00,BS IV,7.00,184.00,1815.00,5.00,6.5,Ventilated Disc,Drum,Double Wishbone with coil spring suspension,3-link Type coil spring suspension,Electric Power,All Windows,Yes,Remote,178PS@4rpm,4Nm@2rpm,7,CD Player with USB & Aux-in,3 years /1 Kms (years/distance whichever comes first),Yes,Front,5.6 meter,NO,NO,Yes,26 kg,Rear sensors with camera,NO,Yes,NO,NO
1258,Mitsubishi,Pajero Sport,2950025.00,2.00,BS IV,7.00,184.00,1815.00,5.00,6.5,Ventilated Disc,Drum,Double Wishbone with coil spring suspension,3-link Type coil spring suspension,Electric Power,All Windows,Yes,Remote,178PS@4rpm,35Nm@18-35rpm,7,CD Player with USB & Aux-in,3 years /1 Kms (years/distance whichever comes first),Yes,Front,5.6 meter,NO,NO,Yes,26 kg,Rear sensors with camera,NO,Yes,NO,NO
1259,Bentley,Flying Spur,3467064.00,4.00,BS IV,9.00,1488.00,227.00,4.00,2,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,Electric Power,All Windows,Yes,Smart Key,57PS@6rpm,66NM@17rpm,4,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front & Rear,5.9 meter,NO,NO,Yes,2972 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
1260,Bentley,Flying Spur,3932083.00,4.00,BS IV,9.00,1488.00,227.00,4.00,2,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,Electric Power,All Windows,Yes,Smart Key,616PS@61rpm,8Nm@16-61rpm,4,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front & Rear,5.9 meter,NO,NO,Yes,2972 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
1262,Honda,City,7600059.00,4.00,BS 6,4.00,1495.00,1695.00,4.00,14.3,Ventilated Disc,Drum,"McPherson Strut, Coil Spring","Torsion Beam Axle, Coil Spring",Electric Power,All Windows,NO,Remote,119PS@66rpm,145Nm@46rpm,5,CD Player with USB & Aux-in,"2 Years / 4, Kms (Whichever comes earlier)",Yes,Front & Rear,5.3 meter,NO,NO,Yes,1436 kg,Front and rear sensors with camera,NO,Yes,NO,NO
1263,Honda,City,2100082.00,4.00,BS 6,4.00,1495.00,1695.00,4.00,14.3,Ventilated Disc,Drum,"McPherson Strut, Coil Spring","Torsion Beam Axle, Coil Spring",Electric Power,All Windows,NO,Smart Key,119PS@66rpm,145Nm@46rpm,5,DVD Player with USB & Aux-in,"2 Years / 4, Kms (Whichever comes earlier)",Yes,Front & Rear,5.3 meter,NO,NO,Yes,1459 kg,Front and rear sensors with camera,NO,Yes,NO,NO
1264,Honda,City,2300012.00,4.00,BS 6,4.00,1495.00,1695.00,4.00,14.3,Ventilated Disc,Drum,"McPherson Strut, Coil Spring","Torsion Beam Axle,Coil Spring",Electric Power,All Windows,NO,Smart Key,119PS@66rpm,145Nm@46rpm,5,CD/MP3/DVD Player with USB & Aux-in,"2 Years / 4, Kms (Whichever comes earlier)",Yes,Front & Rear,5.3 meter,NO,NO,Yes,1475 kg,Front and rear sensors with camera,NO,Yes,NO,NO
1266,Honda,City,3100091.00,4.00,BS IV,4.00,1495.00,1695.00,4.00,22.6,Ventilated Disc,Drum,"McPherson Strut, Coil Spring","Torsion Beam Axle, Coil Spring",Electric Power,All Windows,NO,Remote,1PS@36rpm,2Nm@175rpm,5,CD Player with USB & Aux-in,"2 Years / 4, Kms (Whichever comes earlier)",Yes,Front & Rear,5.3 meter,NO,NO,Yes,1523 kg,Front and rear sensors with camera,NO,Yes,NO,NO
1267,Honda,City,1300002.00,4.00,BS IV,4.00,1495.00,1695.00,4.00,22.6,Ventilated Disc,Drum,"McPherson Strut, Coil Spring","Torsion Beam Axle, Coil Spring",Electric Power,All Windows,NO,Smart Key,1PS@36rpm,2Nm@175rpm,5,DVD Player with USB & Aux-in,"2 Years / 4, Kms (Whichever comes earlier)",Yes,Front & Rear,5.3 meter,NO,NO,Yes,1545 kg,Front and rear sensors with camera,NO,Yes,NO,NO
1268,Honda,City,7400201.00,4.00,BS IV,4.00,1495.00,1695.00,4.00,22.6,Ventilated Disc,Drum,"McPherson Strut, Coil Spring","Torsion Beam Axle, Coil Spring",Electric Power,All Windows,NO,Smart Key,1PS@36rpm,2Nm@175rpm,5,DVD Player with USB & Aux-in,"2 Years / 4, Kms (Whichever comes earlier)",Yes,Front & Rear,5.3 meter,NO,NO,Yes,155 kg,Rear sensors with camera,NO,Yes,Yes,Yes
1269,Honda,City,3400031.00,4.00,BS 6,4.00,1495.00,1695.00,4.00,18,Ventilated Disc,Drum,"McPherson strut,coil spring","Torsion Beam Axle, Coil Spring",Electric Power,All Windows,NO,Smart Key,119PS@66rpm,145Nm@46rpm,5,DVD Player with USB & Aux-in,"2 Years / 4, Kms (Whichever comes earlier)",Yes,Front & Rear,5.3 meter,NO,NO,Yes,1482 kg,Rear sensors with camera,NO,Yes,NO,Yes
1270,Honda,City,1200001.00,4.00,BS 6,4.00,1495.00,1695.00,4.00,14.3,Ventilated Disc,Drum,"McPherson Strut, Coil Spring","Torsion Beam Axle, Coil Spring",Electric Power,All Windows,NO,Remote,119PS@66rpm,145Nm@46rpm,5,CD Player with USB & Aux-in,"2 Years / 4, Kms (Whichever comes earlier)",Yes,Front & Rear,5.3 meter,NO,NO,Yes,1455 kg,Front and rear sensors with camera,NO,Yes,NO,NO
